Position (mm);Force (N);Strain (%);Time (min)
3,09;13600;0,920;3,10
3,10;13700;0,927;3,10
3,10;13700;0,935;3,11
3,11;13700;0,942;3,11
3,11;13800;0,948;3,12
3,12;13800;0,955;3,12
3,12;13800;0,962;3,13
3,13;13900;0,969;3,13
3,13;13900;0,975;3,14
3,14;13900;0,982;3,14
3,14;14000;0,989;3,14
3,15;14000;0,997;3,15
3,15;14000;1,00;3,15
3,16;14000;1,01;3,16
3,16;14100;1,02;3,16
3,17;14100;1,03;3,17
3,17;14100;1,04;3,17
3,17;14100;1,05;3,18
3,18;14100;1,06;3,18
3,18;14100;1,06;3,19
3,19;14100;1,08;3,19
3,20;14000;1,10;3,20
3,20;14000;1,10;3,20
3,20;14000;1,10;3,21
3,21;14000;1,10;3,21
3,21;13900;1,10;3,22
3,22;13800;1,10;3,22
3,22;13800;1,10;3,23
3,23;13800;1,10;3,23
3,23;13700;1,10;3,24
3,24;13700;1,10;3,24
3,24;13700;1,10;3,25
3,25;13700;1,10;3,25
3,25;13700;1,10;3,26
3,26;13600;1,10;3,26
3,26;13600;1,10;3,27
3,27;13600;1,10;3,27
3,27;13600;1,10;3,28
3,28;13600;1,10;3,28
3,28;13600;1,10;3,28
3,29;13600;1,10;3,29
3,29;13600;1,10;3,29
3,30;13600;1,10;3,30
3,30;13600;1,10;3,30
3,31;13600;1,10;3,31
3,31;13600;1,10;3,31
3,31;13600;1,10;3,32
3,32;13600;1,10;3,32
3,32;13700;1,10;3,33
3,33;13700;1,10;3,33
3,33;13700;1,10;3,34
3,34;13700;1,10;3,34
3,34;13700;1,10;3,35
3,35;13700;1,10;3,35
3,35;13700;1,10;3,36
3,36;13700;1,10;3,36
3,36;13700;1,10;3,37
3,37;13800;1,10;3,37
3,37;13800;1,10;3,38
3,38;13800;1,10;3,38
3,38;13700;1,10;3,39
3,39;13700;1,10;3,39
3,39;13700;1,10;3,40
3,40;13700;1,10;3,40
3,40;13600;1,10;3,41
3,41;13600;1,10;3,41
3,41;13600;1,10;3,42
3,42;13600;1,10;3,42
3,42;13500;1,10;3,43
3,43;13500;1,10;3,43
3,43;13500;1,10;3,43
